2026-09-14 20:28:37.308 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | EGG: asof mismatch: EGG has no bar on 2026-09-07
2026-09-14 20:28:37.308 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | APWL: asof mismatch: APWL has no bar on 2026-09-07
2026-09-14 20:28:37.308 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | SHPWQ: asof mismatch: SHPWQ has no bar on 2026-09-07
2026-09-14 20:28:37.308 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | NPWR: asof mismatch: NPWR has no bar on 2026-09-07
2026-09-14 20:28:37.308 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | DUK: asof mismatch: DUK has no bar on 2026-09-07
2026-09-14 20:28:37.308 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | ATLO: asof mismatch: ATLO has no bar on 2026-09-07
2026-09-14 20:28:37.308 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | CYCU: asof mismatch: CYCU has no bar on 2026-09-07
2026-09-14 20:28:37.308 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | ROAD: asof mismatch: ROAD has no bar on 2026-09-07
2026-09-14 20:28:37.308 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | MCBS: asof mismatch: MCBS has no bar on 2026-09-07
2026-09-14 20:28:37.308 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | PBNC: asof mismatch: PBNC has no bar on 2026-09-07
2026-09-14 20:28:37.308 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | MFI: asof mismatch: MFI has no bar on 2026-09-07
2026-09-14 20:28:37.308 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | HOLO: asof mismatch: HOLO has no bar on 2026-09-07
2026-09-14 20:28:37.308 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | CVEO: asof mismatch: CVEO has no bar on 2026-09-07
2026-09-14 20:28:37.308 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | EDBL: asof mismatch: EDBL has no bar on 2026-09-07
